!sil 1.0	sil
-'s 1.0	s
-'s 1.0	z
-1k 1.0	w ah n k ey
-able 1.0	ax b ax l
-ains 1.0	t ih n
-an 1.0	ae n
-arious 1.0	ae r iy ih s
-as 1.0	ae z
-as 1.0	ah z
-asm 1.0	ae z ax m
-at 1.0	aa t
-at 1.0	ae t
-at's 1.0	ae t s
-ate 1.0	ey t
-ause 1.0	ah z
-ay 1.0	ey
-b- 1.0	b
-body 1.0	b aa d iy
-body's 1.0	b ah d iy z
-bout 1.0	b aw t
-cal 1.0	k ax l
-cau- 1.0	k ah
-chestra 1.0	k ih s t r ax
-choice 1.0	ch oy s
-chool 1.0	k uw l
-ciary 1.0	sh ax r iy
-cise 1.0	s ay z
-come 1.0	k ah m
-con- 1.0	k ax n
-credible 1.0	k r eh d ih b ax l
-cross 1.0	k r ao s
-cuse 1.0	k y uw s
-cutor 1.0	k y uw t er
-duce 1.0	d uw s
-ducted 1.0	d ah k t ih d
-e 1.0	iy
-eah 1.0	ae
-earned 1.0	er n d
-ee 1.0	iy
-een 1.0	iy n
-ell 1.0	eh l
-ello 1.0	ax l ow
-ere's 1.0	ey r z
-erry 1.0	eh r iy
-et 1.0	g eh t
-ey 1.0	ey
-f 1.0	f
-fferent 1.0	f ax r ih n t
-fit 1.0	f ih t
-fluorocarbons 1.0	f l ow r ow k aa r b ax n
-fore 1.0	f ow r
-fortunately 1.0	f ow r ch ih n ih t l iy
-fr- 1.0	f r
-fraid 1.0	f r ey d
-fusions 1.0	f y uw zh ih n z
-gree 1.0	g r iy
-hart 1.0	hh aa r t
-head 1.0	hh eh d
-idn't 1.0	ih d en t
-ight 1.0	ay t
-ike 1.0	ay k
-ill 1.0	ih l
-is 1.0	ih s
-ith 1.0	ih dh
-joy 1.0	jh oy
-joyed 1.0	jh oy d
-kay 1.0	k ey
-ke 1.0	k
-ken 1.0	k ax n
-laxed 1.0	l ae k s t
-less 1.0	l eh s
-ll 1.0	l
-llo 1.0	l ow
-lution 1.0	l uw sh ih n
-ly 1.0	l iy
-ma- 1.0	t ax m aa t ow z
-magine 1.0	m ae jh ih n
-member 1.0	m eh m b er
-membered 1.0	m eh m b er d
-mer- 1.0	m er
-mergency 1.0	m er jh ih n s iy
-mongst 1.0	m ah ng s t
-mount 1.0	m aw n t
-moves 1.0	m uw v z
-n 1.0	n
-n't 1.0	n t
-nd 1.0	n d
-ness 1.0	n ih s
-night 1.0	n ay t
-noth- 1.0	n ah dh
-nother 1.0	n ah dh er
-o 1.0	ow
-o 1.0	uw
-obably 1.0	aa b ax b l iy
-ociety 1.0	ax s ay ih t iy
-oes 1.0	ah z
-omen 1.0	ih m ih n
-on't 1.0	ow n t
-one 1.0	w ah n
-onna 1.0	ah n ax
-ord 1.0	ow r d
-ors 1.0	er z
-ot 1.0	aa t
-ou 1.0	uw
-ou- 1.0	b aw
-ourse 1.0	ow r s
-out 1.0	aw t
-ow 1.0	ow
-partment 1.0	p aa r t m ih n t
-pecially  1.0	p eh sh ax l iy
-pending 1.0	p eh n d ih ng
-pends 1.0	p eh n d z
-perience 1.0	p ih r iy ih n s
-person 1.0	p er s ih n
-pinion 1.0	p ih n y ih n
-ployed 1.0	p l oy d
-portant 1.0	p ow r t ih n t
-posed 1.0	p ow z d
-pposed 1.0	p ow z d
-prised 1.0	p r ay z d
-puter 1.0	p y uw t er
-quires 1.0	k w ay r z
-r 1.0	r
-re 1.0	r
-re's 1.0	dh ey r z
-renewable 1.0	r ih n uw ax b ax l z
-round 1.0	r aw n d
-s 1.0	s
-s 1.0	z
-sane 1.0	s ey n
-satisfied 1.0	s ae t ih s f ay d
-se 1.0	z
-sego 1.0	s eh g ow
-self 1.0	s eh l f
-ship 1.0	sh ih p
-side 1.0	s ay d
-sign 1.0	z ay n
-squitoes 1.0	s k iy t ow z
-sr 1.0	eh s aa r
-st 1.0	s t
-su- 1.0	sh uh
-sually 1.0	y uw zh ax l iy
-t 1.0	t
-t's 1.0	t s
-tailed 1.0	t ey l d
-tective 1.0	t eh k t ih v
-temporary 1.0	t eh m p ax r eh r iy
-ter 1.0	s t er
-ther 1.0	dh er
-thing 1.0	th ih ng
-til 1.0	t ih l
-times 1.0	t ay m z
-tory 1.0	t ow r iy
-tro- 1.0	t r ow
-troit's 1.0	t r oy t s
-tu- 1.0	t er
-tute 1.0	t uw t
-ure 1.0	uh r
-ust 1.0	ah s t
-v 1.0	v iy
-van- 1.0	v ae n
-ve 1.0	v
-veloping 1.0	v eh l ax p ih ng
-vely 1.0	v l iy
